FCC,Other ID,RA [deg],DEC [deg],spectra,survey/telescope,ALMA,MUSE
FCCB 1019,FLSBG 232,53.870833,-33.334166,no,,no,no
FCCB 1088,,54.1385,-33.2762,no,,no,no
FCCB 1108,FLSBG 068,54.2072,-33.4609,no,,no,no
FCCB 1241,"NGFS J033817-353028 ",54.5694,-35.5077,no,,no,yes
FCCB 1379,FLSBG 119,54.979166,-33.053333,no,,no,no
FCCB 1554,LEDA 176559,55.495833,-35.34888,no,,no,no
FCCB 1584,PGC 660985,55.570833,-34.53166,no,,no,no
FCCB 2144,LEDA 694645,57.472333,-32.259083,yes,6dF,no,no
,ESO 302-8,56.806368,-38.968466,no,,no,no
,ESO 302-10,57.125535,-39.42502,no,,no,no
,ESO 302-14,57.920417,-38.452222,no,,yes,no
,ESO 356-18,43.802015,-36.300167,yes,6dF,no,no
,ESO 357-7,47.6014583,-33.1561667,no,,no,no
,ESO 359-13,59.9245583,-36.7050306,yes,2dF,no,no
,ESO 359-16,61.1055,-36.1805,yes,6dF,no,no
,ESO 359-17,61.196794,-33.935797,no,,no,no
,ESO 359-18,61.268538,-35.008979,no,,no,no
,ESO 359-22,62.189933,-35.389505,no,,no,no
,ESO 359-24,62.73946,-35.831125,no,,no,no
,ESO 359-29,63.210917,-33.002028,yes,2dF,no,no
,ESO 359-31,63.290029,-34.426321,no,,no,no
,ESO 360-3,64.0414,-33.0618,no,,no,no
,ESO 360-7,65.036,-36.6859,no,,no,no
,ESO 360-8,65.4372,-33.8457,no,,no,no
,ESO 360-10,66.8506,-33.5232,no,,no,no
,ESO 418-8,52.877708,-30.213333,yes,2dF,no,no
,ESO 418-9,52.981732,-31.337625,yes,2dF/6dF,no,no
,ESO 419-13,60.173375,-30.831,yes,6dF,no,no
,ESO 420-6,62.505864,-31.25831,no,,no,no
,ESO 420-9,62.752689,-31.407428,yes,6dF,no,no
,ESO 420-11,63.222208,-31.308194,yes,6dF,no,no
,ESO 420-15,64.424629,-31.291529,no,,no,no
,IC 2006,58.6187,-35.9672,yes,6dF,no,no
,IC 2040,63.249042,-32.553278,yes,2dF,no,no
,IC 2041,63.145432,-32.817367,yes,2dF,no,no
,IC 2059,65.109583,-31.724583,yes,6dF,no,no
,LEDA 132225,58.9435875,-36.2620472,yes,2dF,no,no
,LEDA 142353,43.913877,-36.335182,yes,6dF,no,no
,LEDA 142358,62.620339,-35.162214,no,,no,no
,LEDA 170051,55.245185,-38.855266,yes,2dF,yes,no
,LEDA 3314679,62.697451,-32.816959,no,,no,no
,LEDA 592896,58.860354,-39.886609,no,,no,no
,LEDA 655120,61.17175,-34.965417,yes,6dF,no,no
,LEDA 678875,65.354833,-33.249528,no,,no,no
,LEDA 684913,62.860333,-32.857528,yes,2dF,no,no
,LEDA 696873,63.307792,-32.100806,yes,2dF,no,no
,LEDA 699440,49.697917,-31.911389,yes,2dF,no,no
,LEDA 705828,47.872417,-31.382222,yes,2dF,no,no
,LEDA 706380,47.841696,-31.33488,no,,no,no
,LEDA 707430,50.112083,-31.248111,yes,2dF,no,no
,LEDA 707865,49.063583,-31.209472,yes,2dF,no,no
,LEDA 712861,51.567,-30.7965,yes,2dF,no,no
,LSBG F300-001,48.9435074039,-38.524945868,no,,no,no
,LSBG F359-060,58.514244,-36.063653,no,,yes,no
,LSBG F416-012,42.949875,-30.1081,yes,2dF,no,no
,LSBG F418-009,53.4127226,-28.957287616,yes,2dF,no,no
,LSBG F418-036,51.733684693742504,-30.709812451593557,yes,2dF,no,no
,LSBG F418-045,53.04726442354834,-31.483363685547804,yes,2dF,no,no
,LSBG F418-047,52.66804522829988,-31.933902390464926,yes,6dF,no,no
,LSBG F418-049,52.08000846736938,-31.770004226153354,yes,2dF,no,no
,LSBG F418-050,51.86174594382996,-31.8335325025349,no,,no,no
,LSBG F418-055,50.86614310882008,-31.268952438713416,yes,2dF,no,no
,NGC 1326B,51.3329167,-36.385,no,,yes,no
,NGC 1339,52.02916666666667,-32.28611,yes,6dF,yes,no
,NGC 1340,52.08333,-31.068055,yes,6dF,no,no
,NGC 1365,53.4,-36.14111,yes,6dF,yes,yes
,NGC 1366,53.473667,-31.194111,yes,6dF,no,yes
,NGC 1406,54.8466,-31.3227,yes,6dF,yes,no
,NGC 1484,58.583875,-36.968889,yes,6dF,yes,no
,NGC 1531,62.997167,-32.850806,no,,no,no
,NGC 1532,63.018042,-32.874222,no,,no,no
,NGC 1537,63.419625,-31.645417,yes,6dF,no,no
,NGFS J033625-370731,54.1048,-37.1252,no,,no,no
,NGFS J033700-352035,54.2492,-35.3432,no,,no,yes
,PGC 3182664,49.210958,-33.301139,yes,2dF,no,no
,[BAL2007] newdw1,55.325475,-35.4770722,no,,no,no
,[BAL2007] newdw2,54.986,-35.622,no,,no,no
,[BAL2007] newdw4,53.8987,-35.2906,no,None,no,no
